,title,review,rating
38,Our trip from 2013 to 2020 ,"2013, 2015, 2019 &  2020 😁 ( covid19 year - they strictly handled the SOP! Can come here feel secure and safe to play!)Best place for the children and adults. Our first time is back in 2013 and then come again and again (request by the kids).. Had a wonderful time there! Really beautiful and very friendly staff. Unbelievable vibe and great place for a vacation! The theme room hotel is AMAZING!",5.0
39,Legoland Malaysia,"Overall great place! Both the main theme park and water park. The only point to mention is the ride called “Aquazone Wave Racers” which has some serious technical flaws as not enough cushioning/padding on the metal sides. When the ride stops, it simply slams into the side and you end up being pushed really fast into the metal bars and hence you either injure your hip/leg. So many of our family members were hurt by this ride including myself and we were all following the instructions of ‘standing’. Someone should quickly inspect this ride before there is a serious injury.",4.0
40,Great place,"Hotel - staf are very helpful & very clean during MCO         - room is good but need to improve the TV channel by having Legotv maybe         - Tasty foodAll theme Park - clean & follow gov SOP during this MCO                         - all attractions very suitble for Lego lovers, maybe can upgrade/replace old onesOverall was great",5.0
41,Kiddilicious,"We were lucky to have experienced this playland before the outbreak of corona virus. I went with my wife and twin 6th YO daughters after arrivibf from Singapore by bus the other night. The place was great for kids. I wouldnt recommend the place for adrenaline junkie, but for family and kids, this is great. There are grande rides like Ninja-Go, Lego-Racer and Dragon Coaster. There are also interactive small rides, like riding school, fire extinguisher game, lifting games etc. The prices of food is also quite cheap. I went there not on holiday season, so there was very little queue for most rides. So I dont know whether my rating will be changed if the place were crowdy. All in all, I would recommend this place for families..",5.0
42,Loved it,I had such a good time here. I think it depends on pot luck but when I went there it was empty and I had free reign of the whole park no queues. Would be great for kids.,5.0
43,Good for Locals!,"Legoland is a dream for kids. Of course they enjoy.But what I clearly understood was that we should have used our discretion as travellers going all the way as tourists. I cant speak for other countries, but India and the southern part that I come from has enough and more such places for amusement and a visit abroad to a similar park should have been thought out. Yes, it is interesting for the kids, but it is a full day's activity if you are staying in KL, like most visitors do, and it can be extremely disappointing if most of the game are shut due to rain or so, like how we faced.  April 2019",4.0
44,Life size Lego... It's like a new world! (there's advice at the end),"The park was awesome. The lines were a bit long, but you won't get bored waiting in line! All the rides were amazing, and the waterpark was amazing too! The waterpark had well managed locker rooms. But I have some advice. bring a waterproof watch with you. The only problem I had there was finding out the time. I asked a lifeguard for the time, and he told us. Since we had to go somewhere else too, we rushed to get changed. But when I finally turned on my mobile, it showed that we were an hour early! Since I was chill, I went to the cafe inside the park and sipped on a scrumptious milkshake.",4.0
45,Awesome time had. ,"Just returned after a trip with my 7 year old son. The park was basically empty and we pretty much had the entire place to ourselves which was brilliant. He could go on the rides as many times as he liked over and over again. No lines for anything. He loved the Dragon roller coaster and must have been on it about 100 times over the 3 days. He was a bit disappointed that the VR headsets aren’t available on the VR roller coaster.  Staff are very friendly and helpful, food is cheap for a theme park although majority of the restaurants are closed. Only thing is there is not a lot around the area but the supermarket down the road is very handy. ",5.0
46,Theme park for lego lovers,This theme park is best with children since a lot of attractions are for them.  Although adult lego lovers will love this place too due to the creative creations out of lego pieces.  Some attractions are suited for adults as well.,5.0
47,Wonderful family day out,"We just went and thoroughly enjoyed ourselves. The park was relatively empty, so we didn’t have to queue up for rides. The mini city was A M A Z I N G!!There was a selection of food and we ended up getting grilled chicken, fries, coleslaw, dessert and drink for about NZD$15!  Normally food in theme parks are very expensive. Would definitely recommend. My only suggestion is that if you’re not going to the water park you probably only need a one day pass. Also there isn’t much in the surrounding area. ",5.0
48,Fun times ,"My partner and I went to the main park over two days. Very glad we went as we had lots of fun on both the rides and looking at all the cool statues scattered about the park. There weren’t many other people around so we could go on the rides over and over if we wanted and there was basically no waiting time which was great. But it did mean a lot of the food places were closed and performances weren’t on. We were sad the main large roller coaster was undergoing maintenance, and for some unknown reason the VR coaster didn’t actually have the VR headsets to use!Overall all it was lots of fun!!Definitely recommend bringing an umbrella to keep away from the hot hot sun and also be warned that you get soaking wet on the splash mountain type ride 🤣",4.0
49,Great for all ages,My children and my grandparents all enjoyed Legoland.Just wish that they stayed open later.Highly recommended,5.0
50,Visiting Legoland,"Not one bad word to say! Everything was perfect. Spotless facilities, AMAZING rooms. An experience from the moment the doors are opened for you. Lifeguards at the pool. Attention to detail was next level.The cleanliness was top notch. Food was great. My children loved every second and our(parents) inner child ran wild with them. Im in tears with the way the staff treated my two children- they were kind, loving and genuinely beautiful humans. Terima kasih!!See you again soon- i think both kids want to work here when they grow up!The Black Family from NZ xoxo",5.0
51,amazing but could do better,"Hi Legoland.Legoland is a must yearly-family-vacation for us. my son loved the parks so much especially water-park. however we had a bittersweet experience last year compared this year. my son, is an autistic kid. there are not so much ride we can bring him due to his condition. any ride that need adult supervision, we will bring him. Other than that, it is just sight seeing. we just want to make him feel happy. However, we really wanted him to try out one the of car ride because we believe he can maneuver the car with the help of booth operator. We did saw one of the booth operator help a kid maneuver the car.However, when we explained my son condition to the booth operator, she declined it immediately. what a bummer!!Fortunately this year, we tried again. we explained my son condition to the booth operator and he granted our wish! my son drove the car with the help of the booth operator. for us, it is an achievement. overjoyed! we also did his first license. thank you to the guys ( cameraman and booth operator)  who helped my son to complete his driving experience. your understanding and kindness, we appreciate so much. we wish, Legoland, can train all the booth operators to be prepared if there is some kids with disabilities want to have fun. make their life a bit colorful and joy.again. thank you! see you again soon",5.0
52,good place to visit if you have kids,good amount of rides available and the queue are not too long as compared to other theme parks in asia. ,4.0
53,"Fatimah, mirul, shah",Food and service are excellent! We enjoyed dining in. Lots of selection even for kids.I like that they had different sections for different kinds of food that it made it so easy to go through everything. We loved how helpful and accommodating each and every staff.,5.0
54,"Fatimah,jauhari","well approachble and excellent food and service.roti boom'omelet,pancake,teh rarik,milo,n soo many2 to much,😘",5.0
55,"New Friends musical, Aquarium kinda small, Staff friendly","Our second time here, still loved the fact that it is not crowded and very short queues in all rides. The staff at almost every corner of the land were friendly and helpful. It rained both days we were there so we didn't catch many rides, nor witness many mascots of festivities despite the approaching Lunar New Year holidays, other than a small booth that allowed the little ones to make a rat out of lego. Come to think of it - hope there were more wet weather activities, or else we felt our two-day tickets were kinda completely under-utilized as there was not much to do.The Friends musical was new, our girl liked it but it was just a mere 20-minute show. The Sea Life aquarium was small, and can be completed in an hour or less? The GREAT LEGO RACE VR roller-coaster ride was pretty exciting but the VR system needs to be upgraded, because the resolution was poor and felt like watching a show from the 1980s.",4.0
56,Lego creation,Our kids were guided by Amin & walhidah and they were really good with them and the kids had fun.  A great activity for kids 5yrs and above.,5.0
57,Family gathering,It was an enjoyable moment of family gathering especially to our grands children. Only with one setback. We were on the water park when my wife lost her gold bracelet.  Report was made to the management.,5.0
58,Fun and Expensive,"The theme park and water theme park were good. The staff in most places were very friendly and informative. Most events are good, some are under maintenance, few were boring. Overall a good place for kids and adults too. The events are not very challenging, so it is safer for kids. The theme park entrance is expensive, the food is too expensive like a small sandwich costed 35RM. Every event having a camera to capture our reaction and I expected one snap may cost 5RM to 10RM, but they gave shock saying 60RM. The experience is really really enjoyable and fun, only disadvantage is everything expensive, heavily overpriced. There are Lego stores which is not offering any competitive price than outside market, either same price or expensive. So, there is no reason to buy here from the stores inside. The big mistake is sea world, again overpriced and not special. Especially if you have seen other ocean parks, this one very tiny.",4.0
59,Excellent Choice for Kid,"Lego is the name as one of favorite kid stuff for sure. Additionally, Lego Movie is another theme as this will bring the kid to visit this place.We travelled this place during outbreak.  Then, we faced less crowded. Many food stations and some attractions have been closed.We bought only Lego Land ticket not combo with SeaLife or Water Park. I think it will be better to buy Combo TicketTransportation network to JB Sentral, Senai Airport, and Singapore is very easy.  Mall of Medihi is located in the same area of Legoland.  There are many fastfood (subway, burger king, etc), super market, starbuck, etc. This will make visitor feel comfortable during waiting for next activities such as; Bus to Singapore, etc",5.0
60,Most Valued for Money Theme Park,"We stayed 2 nights at LEGOLAND Malaysia Hotel and we spent a day in the theme park. At the ticket counter the staff mentioned that only Observation Tower was closed. The rest were open and available to enjoy.I went to Guest Service and claimed Birthday button for my always daughter and pinned it on her shirt.She felt very special and proud as almost all the staffs that cMe accross her especially the ride operators greeted her and wished her Happy Birthday.We didn't use the Birthday VIP Pass as there was no queue line after all. My birthday girl rode 10 rides. She drove a car at Driving School as she turned 6 that day and braved herself riding Dragon's Apprentice. We were so proud of her overcoming her fear and move forward. We then enjoyed Officer in Pursuit at 4D Theatre, LEGO Friends and the closing show too.We highly recommend LEGOLAND Malaysia for family with young kids. It is really a kids paradise.",5.0
61,Not suitable for adults,Most of the rides are for children below 12 years old. Nothing much for the adults to enjoy but the water park and hotel is something different and can be fun for the adult.,2.0
62,A very good side trip from Singapore!,Just a 1-hour ride from Singapore and you’ll reach Legoland.  We really had a good time here riding the amazing rides because of shorter waiting time so much unlikely at Universal Studios where we were the day before.  We enjoyed Miniland where popular tourist destinations in Asia are featured in miniatures.  It’s just sad to note that only a few people go here.  It’s really worth a visit for the whole family.,4.0
63,Great place,"Great place for kids, we really enjoy this journey in legoland. The hotel is also very incredible, my kids don't want to go home!很棒的地方 不管是飯店還是遊樂園 小朋友都超喜歡的 房間還有積木可以玩 真是住進去就不想出來了 一定會找時間再來一次的！",5.0
64,Is It safe to visit Legoland by next week ?,HI Guys ! I had booked 2 night for Legoland Hotel ... Is It safe to go there ?? I thought of bring my 3yo baby to go legoland...But suddenly got the coronavirus news...Any Suggestion ?? My 3yo son keep want to go Legoland...His favourite theme park !! :(,5.0
65,LEGO land best for children ,This place is fabulous specialy for kids the view are amazing the food also are great but a bit hot the place but people are friendly this place is high recommend ,5.0
66,WARNING: DO NOT LET YOUR CHILD RIDE THE BATTERY OPERATED JEEPS AND LED CARS OUTSIDE SEA LIFE CENTRE,"WARNING TO ALL PARENTS: Do not let your child ride any of the Jeeps and LED cars at the square of Mall of Medini (not part of Legoland) outside the Sea Life Centre. Our six year old daughter riding a Jeep had what should have been an innocent head-on collision with a LED car. Due to the LED cars steep nose her 25kg Jeep was picked up and overturned falling on top of her, including the jeeps seat and battery. She was trapped under the car and could have easily broken her neck. Wish Merlin Entertainment can have a serious word with the negligent Mall of Medini mall operators for keeping customers safe in the park vicinity although I must stress this is not Merlin Entertainments responsibility. We love Legoland and this was our fourth annual visit. The staff is super-friendly and the park is our favourite entertainment park in Asia, especially the Lego waterpark. See you again soon!",5.0
67,Theme Park,Great place for family and especially kids. Not over crowded during ( chinese new year ) so not too long que to play most of the theme park . Shop have lots of variety of lego too. Only that the wheater during that time was too hot and most of the places not under shade. And also the food & beverage was abit expensive .,3.0
68,Day trip to Legoland from Singapore,"We booked through Nusa transport Singapore. Our driver was so lovely and great with children. He was on time on both pick up and return trip. Our drivers name was Michael :) $200 return trip for transfers. Pick up was 8am and arrived at Legoland Malaysia around 9.15am. Pick up from Legoland was 6pm and arrived back at hotel around 7.30pm. We bought a combo theme park pass which included waterpark, sea life aquarium and the actual theme park (buy through klook as it works out cheaper than buying on arrival). (All parks are located at same location). The theme park wasn’t busy on the day we attended so we easily did all three parks in 1 day. Legoland was great for around 5 - 6 year old ages. My daughter who is 3 nearly 4 didn’t meet height restrictions for some rides. The staff are super friendly and we had a wonderful trip over to Malaysia for the day.Highly recommend Nusa transport and the Legoland trip if you are staying in Singapore.",5.0
69,It was great,My son was only 3 so there are a lot of rides we could not do.. But it was great.. I recommend two day pass though.. The Waterpark was the best thing.. And my son enjoyed the sea life too.. The only issue is that you don't have a lot of shade space..,5.0
70,Easy access from Singapore and good to spend a day trip,It’s a great place for fun and family time. Being in Johor Bahru makes it easier to access from Singapore. There is an airport as well in Johor Bahru with well connecting flights. Nothing great to do in Johor Bahru other than Legoland. Water park and adventure rides are good with a great value for money. Can spend the entire day in the Legoland with around 40interactive rides. ,5.0
71,Great Waterpark and Theme Park,"Great Lego place to visit! Not as many people, shorter ques and quiet a number of water slides available. The rides were very suitable for younger children and best of all, very rare there was a que on most rides!Shops had a variety of different lego releases; great for those looking for retired collectables. Only negative was that the food was a bit more expensive than expected. Expect to pay a lot on food. ",5.0
72,Good for family,Went to Legoland JB with family. Good experience for kids and they had a great time. Price could be cheaper,5.0
73,Kids love it. Though overall its small as compared to some other amusement parks,"Kids will love it. It's great to be in legoland with your kids and let them enjoy. Overall its a great and decent park, however its smaller in size and number of attractions when compared to disneyland or others. Also many of the rides has atleast 2-3 seats under maintenance and that created more wait time (sometimes).Aquarium was not that great and had limited interesting attractions.Does have a locker facility both at the entrance outside and also inside. However its not a cheap option if you have a big luggage to store.Overall a decent and great place to visit.",4.0
74,Worth it,I brought annual pass last year so I don't have to pay each time I visit. I went a lot this year with friends and it is absolutely worth going to.,4.0
75,Great for smaller kids ,"I haven’t been to other Legoland theme park so I can not compare, however, the rides seems to be a Little bit boring for my 8 year old daughter. She got more excited to see characters walking around and taking pictures Miniature looks amazing, got a wow factor in it. Waterpark: small, a wave pool, couple of rides and lagoon The big shop: we bough a giant LEGO from this shop, as we could not get them in our country, worth for a browse ",3.0
76,"Boring, uninteresting","It's expensive despite that it's a rather boring, uninteresting place, on top of that you have to walk under the hot sun or rain.",1.0
77,Nice pool ,If your looking for a family bonding highly recommended this place and if you have a kids they will enjoy. ,4.0
78,"Lots of ""Under Maintenance"" signs","We went there at 10 am & sauntered over to Merlin's Challenge which is a train that goes round & round. We saw there were nobody there & thought to ourselves ""How lucky! We are the first ones to ride this!"" We looked around for the staff. A guy appeared & said ""Sorry, this is under maintenance."" Ughs.... What luck... The 4D Cinemax was operating when we watched the first movie. However, we noticed that their seats did not move at all throughout the entire ride, which was strange. The second time when we wanted to watch another movie, we were told ""Sorry, this is under maintenance."" Mmm... Ok, guess we will come back later. So we did after an hour or so. Well, the same guy was still there & he said.... I don't have to type it here. I am sure you know. This time, a Chinese lady said ""What? Under maintenance again?!"" The guy just smiled sheepishly.Our first ride on the Observation Tower went without a hitch. But when we came back to do a second ride, well, the staff standing at the entrance said the ride was not operating due to weather condition.We went to the most popular ride which was The Great Lego Race & it was, YES! You guess it right again! It was under maintenance! So I asked her how long will it take. She said she does not know.We went to The Dragon ride & the staff asked how old is our daughter. We said she is turning 6. To which she replied ""Oh, then she can't take the ride. Kids need to be 6 years old this year."" ""What? But her birthday is tomorrow!"" We replied. ""Sorry, cannot"" came the reply. We were annoyed that we were turned down. Did she really understand what we meant when we said she is turning 6? There is no basis to reject us as the website said ""Guests who are in between 6-8 years old and 100 cm to 119 cm must be accompanied by an adult 16 years old.""Last but not least, I find the lighting inside all the toilet to be insufficiently lit; it was too dim & I did not like it.",3.0
79,A theme park with high standard ,It’s more suitable for older kids and teens as lots of rides have height requirements. Yet it’s still entertaining enough for my young kids. Baby care centre was fantastic especially for mum that needs to breastfeed. Balance of indoor and outdoor activities to cope with the heat in Malaysia. There are restaurants outside of the theme park if you don’t want to pay double the price for inside food and drinks. ,4.0
